class_mAP,class_recall@1,class_recall@10,class_recall@5,dataset,identity_mean_rank,identity_median_rank,identity_recall@1,identity_recall@10,identity_recall@5,model,n_videos,perturbation,shift_mean_cosine_shift,shift_mean_cosine_similarity,shift_std_cosine_shift,shift_std_cosine_similarity
0.5181169365173355,0.739,0.941,0.896,kinetics400_subset,,,,,,dinov2,1000,clean,,,,
0.5028168834104578,0.732,0.94,0.898,kinetics400_subset,2.497,1.0,0.968,0.991,0.988,dinov2,1000,frame_repeat,0.12406808137893677,0.8759318590164185,0.11619418114423752,0.11619418114423752
0.5181169365173355,0.739,0.941,0.896,kinetics400_subset,1.0,1.0,1.0,1.0,1.0,dinov2,1000,shuffle,4.1127203864732564e-09,1.0,7.420212710940177e-08,7.431613369135448e-08
0.5181169365173355,0.739,0.941,0.896,kinetics400_subset,1.0,1.0,1.0,1.0,1.0,dinov2,1000,reverse,3.4570692974966732e-09,1.0,7.647724942216882e-08,7.655542333395715e-08
0.407864976654002,0.704,0.946,0.892,kinetics400_subset,2.737,1.0,0.768,0.958,0.901,dinov2,1000,blur,0.3619648516178131,0.6380351185798645,0.14395391941070557,0.14395391941070557
0.12212023102748913,0.2958057395143488,0.7350993377483444,0.6059602649006622,ssv2_subset,,,,,,dinov2,906,clean,,,,
0.11427728298570458,0.271523178807947,0.7284768211920529,0.5982339955849889,ssv2_subset,1.0220750551876379,1.0,0.9856512141280354,1.0,0.9988962472406181,dinov2,906,frame_repeat,0.10449662059545517,0.8955034613609314,0.09230823069810867,0.09230823069810867
0.12212023376902938,0.2958057395143488,0.7350993377483444,0.6059602649006622,ssv2_subset,1.0,1.0,1.0,1.0,1.0,dinov2,906,shuffle,7.960443859644784e-09,1.0,7.383833633411996e-08,7.426667281151822e-08
0.12212023376902938,0.2958057395143488,0.7350993377483444,0.6059602649006622,ssv2_subset,1.0,1.0,1.0,1.0,1.0,dinov2,906,reverse,9.736741191090914e-09,1.0,7.439404470233058e-08,7.502921306468124e-08
0.10573829860307729,0.2902869757174393,0.6942604856512141,0.5629139072847682,ssv2_subset,2.3465783664459163,1.0,0.8520971302428256,0.9679911699779249,0.9547461368653422,dinov2,906,blur,0.37441691756248474,0.6255831122398376,0.13484902679920197,0.13484902679920197
0.48788303228801805,0.73,0.932,0.886,kinetics400_subset,,,,,,slowfast,1000,clean,,,,
0.4076766375806388,0.69,0.92,0.865,kinetics400_subset,25.749,2.0,0.476,0.809,0.717,slowfast,1000,frame_repeat,0.45377472043037415,0.5462253093719482,0.12975235283374786,0.12975235283374786
0.4269561003278783,0.685,0.927,0.867,kinetics400_subset,3.609,1.0,0.896,0.977,0.961,slowfast,1000,shuffle,0.16533663868904114,0.834663450717926,0.10112898051738739,0.10112898051738739
0.48307136038054793,0.734,0.928,0.883,kinetics400_subset,1.0,1.0,1.0,1.0,1.0,slowfast,1000,reverse,0.028065558522939682,0.9719343781471252,0.018605342134833336,0.018605342134833336
0.1931616225927792,0.489,0.832,0.729,kinetics400_subset,72.114,5.0,0.298,0.604,0.508,slowfast,1000,blur,0.5027323365211487,0.49726760387420654,0.14601948857307434,0.14601948857307434
0.12411598490611743,0.2913907284768212,0.7406181015452539,0.608167770419426,ssv2_subset,,,,,,slowfast,906,clean,,,,
0.08031306082480168,0.16666666666666666,0.6158940397350994,0.48123620309050774,ssv2_subset,14.32008830022075,1.0,0.609271523178808,0.8443708609271523,0.7913907284768212,slowfast,906,frame_repeat,0.4298260807991028,0.5701739192008972,0.11545342206954956,0.11545342206954956
0.1014445082117349,0.23620309050772628,0.6821192052980133,0.5298013245033113,ssv2_subset,4.49448123620309,1.0,0.8984547461368654,0.9701986754966887,0.9602649006622517,slowfast,906,shuffle,0.2090565264225006,0.7909435033798218,0.10308148711919785,0.10308148711919785
0.12424697255174139,0.2947019867549669,0.7339955849889624,0.6103752759381899,ssv2_subset,1.0,1.0,1.0,1.0,1.0,slowfast,906,reverse,0.024555103853344917,0.9754448533058167,0.015453916974365711,0.015453916974365711
0.0855999312238812,0.16777041942604856,0.6026490066225165,0.4624724061810154,ssv2_subset,72.34988962472406,5.0,0.32339955849889623,0.5706401766004415,0.5077262693156733,slowfast,906,blur,0.47825974225997925,0.5217402577400208,0.13084258139133453,0.13084258139133453
0.16839867515085383,0.466,0.828,0.739,kinetics400_subset,,,,,,vjepa,1000,clean,,,,
0.15514966075906045,0.387,0.808,0.691,kinetics400_subset,17.128,1.0,0.777,0.899,0.865,vjepa,1000,frame_repeat,0.274049311876297,0.7259506583213806,0.09666592627763748,0.09666592627763748
0.16496535817842115,0.472,0.825,0.727,kinetics400_subset,1.003,1.0,0.998,1.0,1.0,vjepa,1000,shuffle,0.04732893034815788,0.9526711106300354,0.02414323203265667,0.02414323203265667
0.17366089524574238,0.482,0.842,0.741,kinetics400_subset,1.001,1.0,0.999,1.0,1.0,vjepa,1000,reverse,0.023066237568855286,0.9769337177276611,0.020059632137417793,0.020059632137417793
0.09935937573992189,0.188,0.536,0.395,kinetics400_subset,44.232,11.0,0.18,0.499,0.379,vjepa,1000,blur,0.35725751519203186,0.6427425146102905,0.08146850019693375,0.08146850019693375
0.12080531659682818,0.33112582781456956,0.7637969094922737,0.6390728476821192,ssv2_subset,,,,,,vjepa,906,clean,,,,
0.08377391510041249,0.19426048565121412,0.652317880794702,0.5077262693156733,ssv2_subset,7.7969094922737305,1.0,0.8344370860927153,0.9293598233995585,0.9150110375275938,vjepa,906,frame_repeat,0.20401427149772644,0.7959856986999512,0.07211500406265259,0.07211500406265259
0.11354194641240015,0.31346578366445915,0.7538631346578366,0.6225165562913907,ssv2_subset,1.0044150110375276,1.0,0.9966887417218543,1.0,1.0,vjepa,906,shuffle,0.050893887877464294,0.9491061568260193,0.026785872876644135,0.026785872876644135
0.11228341313140357,0.31015452538631344,0.7715231788079471,0.6545253863134658,ssv2_subset,1.0011037527593818,1.0,0.9988962472406181,1.0,1.0,vjepa,906,reverse,0.024211935698986053,0.9757880568504333,0.022930214181542397,0.022930214181542397
