class_mAP,class_recall@1,class_recall@10,class_recall@5,dataset,identity_mean_rank,identity_median_rank,identity_recall@1,identity_recall@10,identity_recall@5,model,n_videos,perturbation,shift_mean_cosine_shift,shift_mean_cosine_similarity,shift_std_cosine_shift,shift_std_cosine_similarity
0.07962425247553094,0.27096045197740115,0.5825988700564971,0.4725423728813559,ssv2_subset,,,,,,dismo,4691,clean,,,,
0.017477196365313252,0.029152542372881354,0.1744632768361582,0.11186440677966102,ssv2_subset,152.93920903954802,15.0,0.2264406779661017,0.45559322033898303,0.38192090395480227,dismo,4691,frame_repeat,0.3358411192893982,0.6641589403152466,0.17355284094810486,0.17355284094810486
0.023094397625916474,0.03525423728813559,0.14350282485875707,0.09672316384180792,ssv2_subset,690.3186440677966,345.0,0.0472316384180791,0.10779661016949152,0.08655367231638418,dismo,4691,shuffle,0.5024723410606384,0.4975276291370392,0.21275997161865234,0.21275997161865234
0.03789558682984858,0.11864406779661017,0.38666666666666666,0.2854237288135593,ssv2_subset,435.824406779661,1.0,0.535819209039548,0.655819209039548,0.6248587570621469,dismo,4691,reverse,0.17992907762527466,0.8200709819793701,0.1847059428691864,0.1847059428691864
0.07672592843951734,0.23141242937853107,0.543728813559322,0.44180790960451977,ssv2_subset,1.304632768361582,1.0,0.952316384180791,0.9934463276836158,0.9889265536723164,dismo,4691,blur,0.12242903560400009,0.8775709271430969,0.03573008254170418,0.03573008254170418
