class_mAP,class_recall@1,class_recall@10,class_recall@5,dataset,identity_mean_rank,identity_median_rank,identity_recall@1,identity_recall@10,identity_recall@5,model,n_videos,perturbation,shift_mean_cosine_shift,shift_mean_cosine_similarity,shift_std_cosine_shift,shift_std_cosine_similarity
0.0845135177341715,0.23111714156490276,0.6155585707824514,0.4893713251922207,ssv2_subset,,,,,,slowfast,2211,clean,,,,
0.05242358540218098,0.13025780189959293,0.4531886024423338,0.3342379014020805,ssv2_subset,30.18815015829941,1.0,0.561284486657621,0.8005427408412483,0.7390321121664405,slowfast,2211,frame_repeat,0.4133828580379486,0.586617112159729,0.11548005044460297,0.11548005044460297
0.06921053002653457,0.18000904568068749,0.55359565807327,0.4120307553143374,ssv2_subset,11.311623699683402,1.0,0.8715513342379014,0.9633649932157394,0.9443690637720489,slowfast,2211,shuffle,0.2069309949874878,0.7930690050125122,0.1006162017583847,0.1006162017583847
0.08435046973219519,0.23518769787426505,0.6110357304387155,0.4730890999547716,ssv2_subset,1.0004522840343737,1.0,0.9995477159656264,1.0,1.0,slowfast,2211,reverse,0.023352229967713356,0.9766478538513184,0.014113991521298885,0.014113991521298885
0.04815092315594522,0.1352329262777024,0.4762550881953867,0.3414744459520579,ssv2_subset,196.85572139303483,14.0,0.2510176390773406,0.47761194029850745,0.4120307553143374,slowfast,2211,blur,0.4829559326171875,0.5170440673828125,0.13527414202690125,0.13527414202690125
