class_mAP,class_recall@1,class_recall@10,class_recall@5,dataset,identity_mean_rank,identity_median_rank,identity_recall@1,identity_recall@10,identity_recall@5,model,n_videos,perturbation,shift_mean_cosine_shift,shift_mean_cosine_similarity,shift_std_cosine_shift,shift_std_cosine_similarity
0.1252528377620726,0.331,0.757,0.63,kinetics400_subset,,,,,,dismo,1000,clean,,,,
0.08464249852723381,0.109,0.544,0.362,kinetics400_subset,36.916,6.0,0.271,0.601,0.486,dismo,1000,frame_repeat,0.6933154463768005,0.3066845238208771,0.3544836938381195,0.3544836938381195
0.09543857094819558,0.21,0.625,0.472,kinetics400_subset,43.491,5.0,0.354,0.575,0.512,dismo,1000,shuffle,0.4247763752937317,0.5752236247062683,0.21167704463005066,0.21167704463005066
0.1224762867948595,0.304,0.731,0.604,kinetics400_subset,25.83,1.0,0.801,0.88,0.856,dismo,1000,reverse,0.19381408393383026,0.8061859011650085,0.2204383909702301,0.2204383909702301
0.11413573471234428,0.268,0.735,0.589,kinetics400_subset,1.045,1.0,0.985,0.998,0.997,dismo,1000,blur,0.20253774523735046,0.7974622249603271,0.08661016821861267,0.08661016821861267
