class_mAP,class_recall@1,class_recall@10,class_recall@5,dataset,identity_mean_rank,identity_median_rank,identity_recall@1,identity_recall@10,identity_recall@5,model,n_videos,perturbation,shift_mean_cosine_shift,shift_mean_cosine_similarity,shift_std_cosine_shift,shift_std_cosine_similarity
0.5181169365173355,0.739,0.941,0.896,kinetics400_subset,,,,,,dinov2,1000,clean,,,,
0.5028168834104578,0.732,0.94,0.898,kinetics400_subset,2.497,1.0,0.968,0.991,0.988,dinov2,1000,frame_repeat,0.12406808137893677,0.8759318590164185,0.11619418114423752,0.11619418114423752
0.5181169365173355,0.739,0.941,0.896,kinetics400_subset,1.0,1.0,1.0,1.0,1.0,dinov2,1000,shuffle,4.1127203864732564e-09,1.0,7.420212710940177e-08,7.431613369135448e-08
0.5181169365173355,0.739,0.941,0.896,kinetics400_subset,1.0,1.0,1.0,1.0,1.0,dinov2,1000,reverse,3.4570692974966732e-09,1.0,7.647724942216882e-08,7.655542333395715e-08
0.407864976654002,0.704,0.946,0.892,kinetics400_subset,2.737,1.0,0.768,0.958,0.901,dinov2,1000,blur,0.3619648516178131,0.6380351185798645,0.14395391941070557,0.14395391941070557
