class_mAP,class_recall@1,class_recall@10,class_recall@5,dataset,identity_mean_rank,identity_median_rank,identity_recall@1,identity_recall@10,identity_recall@5,model,n_videos,perturbation,shift_mean_cosine_shift,shift_mean_cosine_similarity,shift_std_cosine_shift,shift_std_cosine_similarity
0.4389166848361685,0.6676050673637643,0.8811582545747034,0.8335009048863865,kinetics400_subset,,,,,,slowfast,4974,clean,,,,
0.34728240170874014,0.635230243313895,0.8598431530263423,0.8027347677458274,kinetics400_subset,85.21174341443796,4.0,0.3317916750452443,0.672632213955359,0.5628393323949327,slowfast,4974,frame_repeat,0.4348941743373871,0.5651057958602905,0.13470974564552307,0.13470974564552307
0.3858864573105478,0.6388497888598431,0.8745224210737985,0.8194248944299216,kinetics400_subset,9.909310275487634,1.0,0.8668811582545747,0.9611904283128896,0.9382666398552182,slowfast,4974,shuffle,0.15537430346012115,0.84462571144104,0.10137809813022614,0.10137809813022614
0.4363040460406271,0.6706213553187211,0.8847778001206515,0.8361150211140157,kinetics400_subset,1.0,1.0,1.0,1.0,1.0,slowfast,4974,reverse,0.026472097262740135,0.9735279679298401,0.018543725833296776,0.018543725833296776
0.1477837633417079,0.4516388497888598,0.7566861049668209,0.6782626181379449,kinetics400_subset,291.3860848582345,12.0,0.2314498290770159,0.48019304242911726,0.39191634828071586,slowfast,4974,blur,0.4814540147781372,0.5185459852218628,0.1546889841556549,0.1546889841556549
