class_mAP,class_recall@1,class_recall@10,class_recall@5,dataset,identity_mean_rank,identity_median_rank,identity_recall@1,identity_recall@10,identity_recall@5,model,n_videos,perturbation,shift_mean_cosine_shift,shift_std_cosine_shift
0.5142073542568812,0.718,0.94,0.884,kinetics400_subset,,,,,,dinov2,500,clean,,
0.4997405362907703,0.704,0.94,0.878,kinetics400_subset,1.13,1.0,0.976,0.998,0.994,dinov2,500,frame_repeat,0.11903899908065796,0.10918229073286057
0.5142073542568812,0.718,0.94,0.884,kinetics400_subset,1.0,1.0,1.0,1.0,1.0,dinov2,500,shuffle,7.510185362491484e-09,7.409254010326549e-08
0.5142073542568812,0.718,0.94,0.884,kinetics400_subset,1.0,1.0,1.0,1.0,1.0,dinov2,500,reverse,6.318092271584419e-09,7.468212004368979e-08
0.42200308827034516,0.66,0.932,0.842,kinetics400_subset,1.814,1.0,0.814,0.982,0.958,dinov2,500,blur,0.3601953685283661,0.14423388242721558
