class_mAP,class_recall@1,class_recall@10,class_recall@5,dataset,identity_mean_rank,identity_median_rank,identity_recall@1,identity_recall@10,identity_recall@5,model,n_videos,perturbation,shift_mean_cosine_shift,shift_mean_cosine_similarity,shift_std_cosine_shift,shift_std_cosine_similarity
0.16839867515085383,0.466,0.828,0.739,kinetics400_subset,,,,,,vjepa,1000,clean,,,,
0.15514966075906045,0.387,0.808,0.691,kinetics400_subset,17.128,1.0,0.777,0.899,0.865,vjepa,1000,frame_repeat,0.274049311876297,0.7259506583213806,0.09666592627763748,0.09666592627763748
0.16496535817842115,0.472,0.825,0.727,kinetics400_subset,1.003,1.0,0.998,1.0,1.0,vjepa,1000,shuffle,0.04732893034815788,0.9526711106300354,0.02414323203265667,0.02414323203265667
0.17366089524574238,0.482,0.842,0.741,kinetics400_subset,1.001,1.0,0.999,1.0,1.0,vjepa,1000,reverse,0.023066237568855286,0.9769337177276611,0.020059632137417793,0.020059632137417793
0.09935937573992189,0.188,0.536,0.395,kinetics400_subset,44.232,11.0,0.18,0.499,0.379,vjepa,1000,blur,0.35725751519203186,0.6427425146102905,0.08146850019693375,0.08146850019693375
