class_mAP,class_recall@1,class_recall@10,class_recall@5,dataset,identity_mean_rank,identity_median_rank,identity_recall@1,identity_recall@10,identity_recall@5,model,n_videos,perturbation,shift_mean_cosine_shift,shift_mean_cosine_similarity,shift_std_cosine_shift,shift_std_cosine_similarity
0.12096960381233053,0.2968421052631579,0.7452631578947368,0.6021052631578947,ssv2_subset,,,,,,vjepa,475,clean,,,,
0.08801624564648129,0.18105263157894738,0.5915789473684211,0.4378947368421053,ssv2_subset,5.311578947368421,1.0,0.871578947368421,0.9431578947368421,0.9221052631578948,vjepa,475,frame_repeat,0.20648060739040375,0.7935193777084351,0.07292874157428741,0.07292874157428741
0.11858328095121155,0.28,0.7410526315789474,0.5852631578947368,ssv2_subset,1.0063157894736843,1.0,0.9936842105263158,1.0,1.0,vjepa,475,shuffle,0.05090994015336037,0.9490900635719299,0.025968914851546288,0.025968914851546288
0.11544354155874315,0.2631578947368421,0.7305263157894737,0.6063157894736843,ssv2_subset,1.0,1.0,1.0,1.0,1.0,vjepa,475,reverse,0.023213518783450127,0.9767864942550659,0.020584894344210625,0.020584894344210625
0.07493674891468251,0.11578947368421053,0.4631578947368421,0.2968421052631579,ssv2_subset,29.322105263157894,7.0,0.3157894736842105,0.5873684210526315,0.48,vjepa,475,blur,0.3428427278995514,0.6571573615074158,0.07988069951534271,0.07988069951534271
